phase,epoch,train_loss,val_loss,val_r2,val_rmse
frozen,1,8.546959211951808,4.2650299072265625,-1.3609952926635742,2.065194845199585
frozen,2,2.488370136210793,2.863334894180298,-0.5850580930709839,1.6921391487121582
frozen,3,2.0661543168519674,2.7985825538635254,-0.5492130517959595,1.6728965044021606
frozen,4,1.9962838448976215,2.9249534606933594,-0.6191684007644653,1.7102495431900024
frozen,5,1.9164326755624068,2.339796781539917,-0.2952427864074707,1.529639482498169
frozen,6,1.976021314922132,2.1156299114227295,-0.17115068435668945,1.4545204639434814
frozen,7,1.8725738148940236,2.2903287410736084,-0.267858624458313,1.5133832693099976
frozen,8,1.8140103252310502,2.517796277999878,-0.39377808570861816,1.5867565870285034
frozen,9,1.8637136220932007,2.4114575386047363,-0.3349120616912842,1.5528868436813354
frozen,10,1.8133523589686344,2.1296122074127197,-0.17889070510864258,1.4593191146850586
frozen,11,1.7210326320246647,2.2571725845336914,-0.24950432777404785,1.5023889541625977
frozen,12,1.8130457338533903,2.357285499572754,-0.30492401123046875,1.535345435142517
frozen,13,1.7556562800156443,2.4853568077087402,-0.375820517539978,1.576501488685608
frozen,14,1.800864997662996,2.3683359622955322,-0.3110412359237671,1.5389398336410522
frozen,15,1.7499318875764545,2.1580100059509277,-0.19461095333099365,1.469016671180725
frozen,16,1.849113288678621,2.113886833190918,-0.17018568515777588,1.4539211988449097
frozen,17,1.7679084413929989,2.4710185527801514,-0.3678833246231079,1.5719473361968994
frozen,18,1.7566473233072382,2.2420523166656494,-0.24113428592681885,1.497348427772522
frozen,19,1.7335502662156757,2.2834763526916504,-0.2640655040740967,1.5111175775527954
frozen,20,1.7838512659072876,1.9156761169433594,-0.060461997985839844,1.3840795755386353
full,1,1.7369248741551448,2.3363137245178223,-0.29331469535827637,1.5285004377365112
full,2,1.6763376436735455,2.3183658123016357,-0.2833791971206665,1.522618055343628
full,3,1.6145958649484735,2.2358195781707764,-0.23768401145935059,1.4952657222747803
full,4,1.5549525210731907,2.178415060043335,-0.20590662956237793,1.4759454727172852
full,5,1.5201868508991443,2.167537212371826,-0.19988501071929932,1.472255825996399
full,6,1.4704364695047076,2.0186893939971924,-0.11748719215393066,1.4208059310913086
full,7,1.4188651411156905,2.155463933944702,-0.19320154190063477,1.4681497812271118
full,8,1.4419235900828713,2.134894609451294,-0.18181490898132324,1.4611278772354126
full,9,1.3551120726685775,2.121675729751587,-0.17449736595153809,1.4565973281860352
full,10,1.3193962668117725,1.996010422706604,-0.10493278503417969,1.4128023386001587
full,11,1.3343162724846287,2.012537717819214,-0.1140817403793335,1.4186394214630127
full,12,1.2673364030687433,2.103933334350586,-0.16467571258544922,1.4504941701889038
full,13,1.2184718690420453,1.9611698389053345,-0.08564603328704834,1.400417685508728
full,14,1.1690355507951034,1.981177568435669,-0.09672164916992188,1.4075430631637573
full,15,1.1803758332603855,1.9730600118637085,-0.09222805500030518,1.4046565294265747
full,16,1.1542604973441677,2.19935941696167,-0.2175006866455078,1.483023762702942
full,17,1.0999300197551125,1.9504287242889404,-0.07969999313354492,1.3965774774551392
full,18,1.0094200058987266,1.904739260673523,-0.054407715797424316,1.3801229000091553
full,19,1.0815379211777134,1.8816148042678833,-0.04160666465759277,1.3717195987701416
full,20,0.9581407339949357,1.861013650894165,-0.030202507972717285,1.3641897439956665
full,21,0.926156715342873,1.8450478315353394,-0.021364331245422363,1.3583253622055054
full,22,0.9330474326485082,1.9952011108398438,-0.1044846773147583,1.4125158786773682
full,23,0.9250861814147547,1.9048160314559937,-0.054450154304504395,1.3801506757736206
full,24,0.9036238726816679,1.8103516101837158,-0.002157449722290039,1.3454930782318115
full,25,0.9222672738526997,1.892898678779602,-0.04785311222076416,1.3758265972137451
full,26,0.8415757260824505,1.918796181678772,-0.06218922138214111,1.3852062225341797
full,27,0.9318046193373831,1.716374158859253,0.049865663051605225,1.3101046085357666
full,28,0.8370187219820524,2.111046314239502,-0.16861319541931152,1.452944040298462
full,29,0.8093034279973883,1.9277331829071045,-0.06713640689849854,1.3884283304214478
full,30,0.8263692448013708,2.1549360752105713,-0.1929093599319458,1.4679700136184692
full,31,0.8312036834265056,2.0090200901031494,-0.11213457584381104,1.4173990488052368
full,32,0.8275536173268369,2.0853261947631836,-0.15437543392181396,1.444065809249878
full,33,0.764412218018582,2.095027208328247,-0.15974557399749756,1.4474208354949951
full,34,0.803974156316958,2.0434086322784424,-0.13117098808288574,1.429478406906128
full,35,0.7945908135489413,1.7580586671829224,0.026790380477905273,1.3259180784225464
full,36,0.7146894680826288,1.9332494735717773,-0.07019007205963135,1.3904134035110474
full,37,0.7177470326423645,1.857064962387085,-0.02801656723022461,1.3627417087554932
full,38,0.7129048579617551,2.163623809814453,-0.19771850109100342,1.4709261655807495
full,39,0.704437549176969,2.1229727268218994,-0.1752152442932129,1.4570424556732178
full,40,0.6426495846949125,2.104708194732666,-0.16510462760925293,1.4507611989974976
full,41,0.7073682311334109,1.9450353384017944,-0.0767143964767456,1.3946452140808105
full,42,0.7498401466168856,2.148124933242798,-0.18913888931274414,1.4656482934951782
full,43,0.7026723137027339,2.048807144165039,-0.13415944576263428,1.4313654899597168
full,44,0.6755377226754239,2.1047275066375732,-0.1651153564453125,1.4507678747177124
full,45,0.6630758705892061,1.9488261938095093,-0.07881295680999756,1.3960036039352417
full,46,0.6378533526470787,1.9433461427688599,-0.07577931880950928,1.394039511680603
full,47,0.645902942670019,2.1531848907470703,-0.1919398307800293,1.4673734903335571
