phase,epoch,train_loss,val_loss,val_r2,val_rmse
frozen,1,14.994649410247803,14.994649410247803,,
frozen,2,11.46267032623291,11.46267032623291,,
frozen,3,8.051074981689453,8.051074981689453,,
frozen,4,6.065313816070557,6.065313816070557,,
frozen,5,4.891045451164246,4.891045451164246,,
frozen,6,3.693008542060852,3.693008542060852,,
frozen,7,3.8760286569595337,3.8760286569595337,,
frozen,8,3.116031527519226,3.116031527519226,,
frozen,9,3.0934473276138306,3.0934473276138306,,
frozen,10,2.434562563896179,2.434562563896179,,
frozen,11,1.9929916858673096,1.9929916858673096,,
frozen,12,1.6037020683288574,1.6037020683288574,,
frozen,13,1.6888800859451294,1.6888800859451294,,
frozen,14,1.5012587904930115,1.5012587904930115,,
frozen,15,1.2157846093177795,1.2157846093177795,,
frozen,16,1.0482235252857208,1.0482235252857208,,
frozen,17,1.0703628957271576,1.0703628957271576,,
frozen,18,0.9581693708896637,0.9581693708896637,,
frozen,19,0.7089418023824692,0.7089418023824692,,
frozen,20,0.7487313151359558,0.7487313151359558,,
full,1,0.792486310005188,0.792486310005188,,
full,2,0.6367619335651398,0.6367619335651398,,
full,3,0.6084484457969666,0.6084484457969666,,
full,4,0.552795022726059,0.552795022726059,,
full,5,0.3726639151573181,0.3726639151573181,,
full,6,0.4246560037136078,0.4246560037136078,,
full,7,0.3367786407470703,0.3367786407470703,,
full,8,0.44013477861881256,0.44013477861881256,,
full,9,0.49541638791561127,0.49541638791561127,,
full,10,0.3642287254333496,0.3642287254333496,,
full,11,0.4263473153114319,0.4263473153114319,,
full,12,0.38758619129657745,0.38758619129657745,,
full,13,0.3108706921339035,0.3108706921339035,,
full,14,0.3839339464902878,0.3839339464902878,,
full,15,0.5235249102115631,0.5235249102115631,,
full,16,0.3704135864973068,0.3704135864973068,,
full,17,0.3620088994503021,0.3620088994503021,,
full,18,0.37408463656902313,0.37408463656902313,,
full,19,0.36038294434547424,0.36038294434547424,,
full,20,0.41557466983795166,0.41557466983795166,,
full,21,0.38515782356262207,0.38515782356262207,,
full,22,0.34887582063674927,0.34887582063674927,,
full,23,0.44034239649772644,0.44034239649772644,,
full,24,0.36302487552165985,0.36302487552165985,,
full,25,0.371722936630249,0.371722936630249,,
full,26,0.32509198784828186,0.32509198784828186,,
full,27,0.5136676877737045,0.5136676877737045,,
full,28,0.23519151657819748,0.23519151657819748,,
full,29,0.27278830111026764,0.27278830111026764,,
full,30,0.2902471274137497,0.2902471274137497,,
full,31,0.2897149324417114,0.2897149324417114,,
full,32,0.38165877759456635,0.38165877759456635,,
full,33,0.3210305869579315,0.3210305869579315,,
full,34,0.3796294927597046,0.3796294927597046,,
full,35,0.2216348722577095,0.2216348722577095,,
full,36,0.3287707418203354,0.3287707418203354,,
full,37,0.23937851935625076,0.23937851935625076,,
full,38,0.26506827026605606,0.26506827026605606,,
full,39,0.32304520905017853,0.32304520905017853,,
full,40,0.3269414156675339,0.3269414156675339,,
full,41,0.2210780382156372,0.2210780382156372,,
full,42,0.22816554456949234,0.22816554456949234,,
full,43,0.2618972286581993,0.2618972286581993,,
full,44,0.26175782084465027,0.26175782084465027,,
full,45,0.323895201086998,0.323895201086998,,
full,46,0.24699581414461136,0.24699581414461136,,
full,47,0.31498539447784424,0.31498539447784424,,
full,48,0.33477820456027985,0.33477820456027985,,
full,49,0.1960945725440979,0.1960945725440979,,
full,50,0.3132348209619522,0.3132348209619522,,
