epoch,train_loss,val_loss,val_r2,val_rmse
1,25.175437667153098,10.021634578704834,-0.5299029350280762,3.1775336265563965
2,7.688291376287287,9.848447561264038,-0.5039162635803223,3.1504316329956055
3,7.65626034303145,9.138911724090576,-0.39639484882354736,3.035724639892578
4,7.636619923331521,9.49690810839335,-0.45055437088012695,3.0940351486206055
5,7.641479388150302,9.56629745165507,-0.46131718158721924,3.10549259185791
6,7.567112324454568,8.763003587722778,-0.34275102615356445,2.9768433570861816
7,7.437661457061767,9.19020970662435,-0.40718722343444824,3.0474331378936768
8,7.070648297396573,8.641835610071817,-0.3185664415359497,2.949913263320923
9,6.951469525423917,9.518112421035767,-0.4427891969680786,3.085742473602295
10,6.779757655750622,5.63832688331604,0.14953362941741943,2.3691186904907227
11,7.040017041293058,8.06980013847351,-0.19762074947357178,2.8113691806793213
12,5.4519782933321865,6.628620545069377,0.027695536613464355,2.5331411361694336
13,5.112857965989546,6.661863009134929,0.024610400199890137,2.537156820297241
14,4.8549802563407205,5.612370411554973,0.18441957235336304,2.320019483566284
15,4.873735150423917,6.407527128855388,0.06896215677261353,2.478802442550659
16,4.731453462080522,4.711000045140584,0.3139544725418091,2.127819061279297
17,4.668043830178001,5.5478566487630205,0.1905633807182312,2.311264753341675
18,4.388270599191839,6.163640181223552,0.11150866746902466,2.421501874923706
19,4.259325894442472,5.379125674565633,0.21857452392578125,2.270920991897583
20,4.165905609997836,5.969774802525838,0.13863921165466309,2.384244441986084
21,4.159862977808172,7.215797583262126,-0.04030025005340576,2.6202189922332764
22,4.101390288092873,5.175225734710693,0.2576671838760376,2.213388204574585
23,3.9251859838312324,5.018356879552205,0.28241288661956787,2.1761837005615234
24,4.0617073319175026,5.094971577326457,0.2626129984855652,2.2060024738311768
25,3.8850998228246514,4.822740356127421,0.3054710626602173,2.140934705734253
26,3.9830330025066027,5.506093939145406,0.20538699626922607,2.2900030612945557
27,3.784794720736417,7.185837030410767,-0.03234446048736572,2.610180616378784
28,3.8366655999963934,4.605616529782613,0.34916436672210693,2.0724968910217285
29,3.6740295453505083,4.82604177792867,0.3012309670448303,2.1474597454071045
30,3.6795263203707607,4.517495592435201,0.3548887372016907,2.0633625984191895
31,3.618594776500355,3.860292991002401,0.4437485337257385,1.9159926176071167
32,3.5614343166351317,5.557319323221843,0.20616143941879272,2.288886785507202
33,3.5688318425958805,5.057273983955383,0.2725147008895874,2.191141128540039
34,3.5315545688975942,4.319526394208272,0.3778305649757385,2.026341199874878
35,3.5314449873837557,5.241357922554016,0.24173855781555176,2.237009048461914
36,3.4567771608179267,4.771674036979675,0.31904399394989014,2.1199116706848145
37,3.3950511542233555,4.999904910723369,0.28271329402923584,2.1757280826568604
38,3.3612996274774725,4.182252566019694,0.405966579914093,1.9799931049346924
39,3.324493442882191,4.9854966799418134,0.2723234295845032,2.1914291381835938
40,3.3058249820362438,5.335878849029541,0.2393491268157959,2.2405309677124023
41,3.2672996260903098,4.845953583717346,0.3029632568359375,2.14479660987854
42,3.2550431208177044,3.982690970102946,0.4273422360420227,1.944042682647705
43,3.2365230733698063,5.526202440261841,0.20486706495285034,2.2907521724700928
44,3.221772545034235,4.597425619761149,0.3411571979522705,2.085206985473633
45,3.1551020232113927,4.178701758384705,0.40584492683410645,1.9801957607269287
46,3.1297264836051246,4.692801594734192,0.32862144708633423,2.1049509048461914
