epoch,train_loss,val_loss,val_r2,val_rmse
1,18.058970494703814,9.652891476949057,-0.47550809383392334,3.120534896850586
2,8.076302810148759,8.487825791041056,-0.3104403018951416,2.9408092498779297
3,7.817432455583052,8.465509057044983,-0.3266172409057617,2.9589052200317383
4,7.564916558699174,9.285898486773172,-0.43774211406707764,3.080340623855591
5,7.284294900027189,6.723585406939189,-0.07215309143066406,2.6600306034088135
6,6.289216570420699,4.489158779382706,0.28740161657333374,2.1686060428619385
7,5.71903471513228,7.852938969930013,-0.17628109455108643,2.7862095832824707
8,5.501256283846769,5.067478537559509,0.2165418267250061,2.2738726139068604
9,5.260878216136586,4.5438686311244965,0.29701417684555054,2.1539297103881836
10,5.032780779491771,6.4453193346659345,0.02171480655670166,2.5409200191497803
11,4.876580359719016,4.460484663645427,0.31048160791397095,2.1331980228424072
12,4.704225100170483,4.825757086277008,0.2573778033256531,2.2138195037841797
13,4.571816916899247,4.625484546025594,0.2960442900657654,2.1554150581359863
14,4.466532319242304,4.7141267855962115,0.27417075634002686,2.188645601272583
15,4.310875500332226,4.883082588513692,0.26058095693588257,2.2090399265289307
16,4.375453691049056,5.117109894752502,0.231462299823761,2.2521164417266846
17,4.148177359320901,4.922020236651103,0.2780105471611023,2.1828489303588867
18,4.086641476371072,4.095290462176005,0.36974602937698364,2.039463996887207
19,3.9720019470561634,3.716003656387329,0.4408041834831238,1.9210567474365234
20,3.924635375629772,3.489325841267904,0.4596559405326843,1.8883975744247437
21,3.8899609760804608,4.693460524082184,0.2688496708869934,2.1966536045074463
22,3.8320084420117464,4.866922775904338,0.26959455013275146,2.1955344676971436
23,3.7868065508929165,4.013298769791921,0.37836360931396484,2.025473117828369
24,3.6532850872386584,3.4115549425284066,0.465734601020813,1.8777456283569336
25,3.6675337249582465,4.49038294951121,0.2969319820404053,2.154055595397949
26,3.564690776304765,4.761813402175903,0.2765263319015503,2.185091495513916
27,3.5281897046349266,3.9092028935750327,0.39500606060028076,1.998176097869873
28,3.500588076764887,3.1561052997907004,0.5098719894886017,1.7985105514526367
29,3.436894037506797,3.63700078924497,0.4283578395843506,1.942318081855774
30,3.391342464360324,4.048128167788188,0.3716927170753479,2.0363118648529053
31,3.302653117613359,4.480359256267548,0.3068777322769165,2.138765335083008
32,3.313801063190807,3.916118005911509,0.40048325061798096,1.9891104698181152
33,3.1983896949074486,3.344910184542338,0.4702664017677307,1.8697649240493774
