region_name,year,country,planted_ha,harvested_ha,production_ton,yield_ton_ha,data_source
Tien Giang,2022,VNM,2400.0,2400.0,8500.0,3.5417,GSO
Tra Vinh,2022,VNM,3800.0,3800.0,22500.0,5.9211,GSO
Tuyen Quang,2022,VNM,18500.0,18500.0,85700.0,4.6324,GSO
Vinh Long,2022,VNM,1400.0,1400.0,3900.0,2.7857,GSO
Vinh Phuc,2022,VNM,9600.0,9600.0,43900.0,4.5729,GSO
Yen Bai,2022,VNM,29200.0,29200.0,104400.0,3.5753,GSO
An Giang,2023,VNM,5500.0,5500.0,42100.0,7.6545,GSO
Ba Ria - Vung Tau,2023,VNM,7000.0,7000.0,40600.0,5.8,GSO
Bac Giang,2023,VNM,10400.0,10400.0,44100.0,4.2404,GSO
Bac Kan,2023,VNM,14200.0,14200.0,56400.0,3.9718,GSO
Bac Lieu,2023,VNM,200.0,200.0,1400.0,7.0,GSO
Bac Ninh,2023,VNM,900.0,900.0,5100.0,5.6667,GSO
Ben Tre,2023,VNM,100.0,100.0,600.0,6.0,GSO
Binh Dinh,2023,VNM,8700.0,8700.0,55100.0,6.3333,GSO
Binh Duong,2023,VNM,300.0,300.0,700.0,2.3333,GSO
Binh Phuoc,2023,VNM,2800.0,2800.0,11000.0,3.9286,GSO
Binh Thuan,2023,VNM,15200.0,15200.0,100400.0,6.6053,GSO
Ca Mau,2023,VNM,700.0,700.0,3300.0,4.7143,GSO
Can Tho,2023,VNM,1000.0,1000.0,5900.0,5.9,GSO
Cao Bang,2023,VNM,41600.0,41600.0,149900.0,3.6034,GSO
Da Nang,2023,VNM,100.0,100.0,700.0,7.0,GSO
Dak Lak,2023,VNM,80700.0,80700.0,511100.0,6.3333,GSO
Dak Nong,2023,VNM,40000.0,40000.0,270100.0,6.7525,GSO
Dien Bien,2023,VNM,24400.0,24400.0,74000.0,3.0328,GSO
Dong Nai,2023,VNM,35100.0,35100.0,286600.0,8.1652,GSO
Dong Thap,2023,VNM,4800.0,4800.0,41800.0,8.7083,GSO
Gia Lai,2023,VNM,38200.0,38200.0,224400.0,5.8743,GSO
Ha Giang,2023,VNM,55100.0,55100.0,193900.0,3.5191,GSO
Ha Nam,2023,VNM,5100.0,5100.0,29200.0,5.7255,GSO
Ha Noi,2023,VNM,12200.0,12200.0,64300.0,5.2705,GSO
Ha Noi,2023,VNM,12200.0,12200.0,64300.0,5.2705,GSO
Ha Tinh,2023,VNM,14400.0,14400.0,67500.0,4.6875,GSO
Hai Duong,2023,VNM,3400.0,3400.0,21600.0,6.3529,GSO
Hai Phong,2023,VNM,1000.0,1000.0,5000.0,5.0,GSO
Hau Giang,2023,VNM,2600.0,2600.0,15700.0,6.0385,GSO
Ho Chi Minh City,2023,VNM,400.0,400.0,1600.0,4.0,GSO
Hoa Binh,2023,VNM,30400.0,30400.0,143800.0,4.7303,GSO
Hung Yen,2023,VNM,3100.0,3100.0,18300.0,5.9032,GSO
Khanh Hoa,2023,VNM,5100.0,5100.0,11100.0,2.1765,GSO
Kien Giang,2023,VNM,300.0,300.0,2400.0,8.0,GSO
Kon Tum,2023,VNM,5000.0,5000.0,21700.0,4.34,GSO
Lai Chau,2023,VNM,19600.0,19600.0,72800.0,3.7143,GSO
Lam Dong,2023,VNM,7500.0,7500.0,44600.0,5.9467,GSO
Lang Son,2023,VNM,19900.0,19900.0,101600.0,5.1055,GSO
Lao Cai,2023,VNM,34800.0,34800.0,135600.0,3.8966,GSO
Long An,2023,VNM,300.0,300.0,1200.0,4.0,GSO
