ADM1_CODE,ADM1_NAME,country,year,date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,ndvi,evi,LST_Day_1km,LST_Night_1km
3333,Binh Dinh,VNM,2023,2023-01-01,0.585000750978352,0.6324951414612044,0.583922707766492,0.5948866330812456,0.5648043798780013,0.4063782270854614,0.2276647936154446,0.0544454128032828,0.053633188130398995,,14.66685951714758
3338,Cao Bang,VNM,2023,2023-01-01,0.04602569544449801,0.28330882453204015,0.027722624738457432,0.05565220610952367,0.30606937502264836,0.1970517408022294,0.08674556010677807,0.7213921948615206,0.6568527053150253,21.022700122647418,9.242172664382574
3355,Khanh Hoa,VNM,2023,2023-01-01,0.6242947268061659,0.6671857058202796,0.6178403583902413,0.6316816206334305,0.5761418898093001,0.3846982758042394,0.209490564289086,0.046039779801761715,0.04536635474813844,17.410000000000025,11.551947269861389
3360,Lang Son,VNM,2023,2023-01-01,0.07699747032562947,0.29083739561434385,0.06667993355734012,0.0840767286229647,0.2953476450304708,0.19309384142038738,0.09384229911879702,0.6557824685791851,0.5470881836364896,20.933628245250446,9.845886102274203
3370,Phu Yen,VNM,2023,2023-01-01,0.6315607300339204,0.6764007861712499,0.625524283096242,0.6400366733367623,0.5852231862690561,0.3973464835620024,0.21924709242277873,0.04672640439010414,0.04824671070517825,,11.568739816860738
3371,Quang Binh,VNM,2023,2023-01-01,0.5745148896586533,0.6182409243973114,0.5794704472478011,0.5829166174172677,0.563443312278185,0.4480070250572704,0.2669966589019392,0.07974867069167567,0.07595801731363046,10.479667158902782,7.896333547617932
3374,Quang Ngai,VNM,2023,2023-01-01,0.6716143891702242,0.6921297523200471,0.6755928944135066,0.6829057555913652,0.5961609266999903,0.4131800035329083,0.2188481247632091,0.019063210657002,0.01825200957666458,,11.334202004457877
3376,Quang Tri,VNM,2023,2023-01-01,0.6600893003323451,0.679145923696003,0.6707600240863645,0.6707548006583873,0.5931120895871672,0.44113896787672613,0.24376956441447917,0.029107870162551105,0.028200392115154797,14.572825192157332,10.17825609306996
3383,Thua Thien - Hue,VNM,2023,2023-01-01,0.7532405971270977,0.7598837774710883,0.7549589658133161,0.7622312004694445,0.6421860897652799,0.42632904299115976,0.2067543897756974,0.005715987124538035,0.004649414061732038,7.64696164760263,8.914471651851168
3327,Ba Ria-Vung Tau,VNM,2023,2023-01-01,0.1322363028614078,0.29540445728419823,0.12139839838242493,0.14288424639806305,0.2916926936658272,0.20970650284953574,0.11201397061041501,0.39635183688103026,0.35361501255104244,30.768009675190083,15.085199006600904
3336,Binh Thuan,VNM,2023,2023-01-01,0.1759848477338786,0.3559015151568049,0.1596938108168713,0.18194097948750212,0.35363814629857937,0.2540645860532079,0.13672850695202174,0.38458691898911496,0.4248622723442954,27.26639759813718,17.942182530262546
3342,Dong Nai,VNM,2023,2023-01-01,0.12809817919980312,0.31275635858812845,0.1196379601590049,0.13956399871997563,0.30454690362064923,0.2040979688636911,0.10378954513149573,0.43206657937736737,0.37148055857467815,27.54119268489027,18.41664111380089
3344,Gia Lai,VNM,2023,2023-01-01,0.29303294005028074,0.44058403238761773,0.28452044791956804,0.29857535559273235,0.4217768826675899,0.30738357394146937,0.17473197122742845,0.31611342033895884,0.31895831750547665,26.703387926445327,16.149513351530093
3345,Ha Giang,VNM,2023,2023-01-01,0.044638060889143585,0.28681532357347284,0.025893294760113667,0.055166235236127174,0.30854587887310764,0.20154475630244667,0.08789635367882827,0.7312148925821869,0.6893986381773183,20.84320865879862,9.461718860211834
3347,Ha Noi City,VNM,2023,2023-01-01,0.06334667624865237,0.1824641872951866,0.039124269479645264,0.0513837273011206,0.18406150881030184,0.15419153041872496,0.10105066445654345,0.48384945907343446,0.38391101250487975,25.695715213579575,10.700638275790805
3348,Ha Tay,VNM,2023,2023-01-01,0.10638891129239787,0.2192423805040632,0.09807203508340048,0.10347480782633517,0.20815562059342446,0.16860605067629736,0.10483832523115819,0.4024866825942251,0.30187229300323976,24.904911061275566,10.373925179616675
3349,Ha Tinh,VNM,2023,2023-01-01,0.2527249306244229,0.361341277850573,0.2496063936833977,0.26455185606682746,0.3477584545887897,0.2753321923515812,0.16339092276000497,0.2703417189748654,0.2215933312014914,19.616613918581667,9.311212067090072
3353,Hoa Binh,VNM,2023,2023-01-01,0.089771713510533,0.2477198858569109,0.09541075056812777,0.0948342444356374,0.2389144718907394,0.1667438860121516,0.08819187253446632,0.576009874459222,0.3895406156505142,20.815435538410647,9.710277214413543
3357,Kon Tum,VNM,2023,2023-01-01,0.20554095436176104,0.4047614939498436,0.1916095045984823,0.21263270031724693,0.38984672490037353,0.2629102424201492,0.13196490204040992,0.5045691714665056,0.4845752919331458,25.364701501758212,14.545953732709014
3366,Nghe An,VNM,2023,2023-01-01,0.14361754724175835,0.33946107885592297,0.13531214926152782,0.15718088194344396,0.3364920554584831,0.24187360761387441,0.13158688785660902,0.49223903106300776,0.46611087315741073,20.261329615060482,9.584829941451085
3367,Ninh Binh,VNM,2023,2023-01-01,0.2006537183007918,0.2880557800553287,0.2021235638976607,0.2031460359066737,0.27294053870090274,0.23188030064901868,0.1565014338345712,0.26688877867082067,0.19767434676732268,24.356272992747414,10.696542660474872
3368,Ninh Thuan,VNM,2023,2023-01-01,0.4325589644354733,0.5227364216367026,0.42089720734661623,0.4381747335111216,0.4853289000112921,0.3407252195168056,0.19656530954564957,0.1316733410562349,0.1361544616816605,25.5789160615807,18.069128303148783
3377,Soc Trang,VNM,2023,2023-01-01,0.1995657520451096,0.35980382249051973,0.1893802073425153,0.21516777955289002,0.31925099070879265,0.2232781241232069,0.12610214117773064,0.284604671196768,0.25214895471081583,24.74955914344878,
3386,Tra Vinh,VNM,2023,2023-01-01,0.1944960757132159,0.3156576100402492,0.18530827043781714,0.20690901064580736,0.2854739103942531,0.2026225409175399,0.11768394632497993,0.2321095762277841,0.19102504908378656,26.270903497122646,
3387,Tuyen Quang,VNM,2023,2023-01-01,0.05062862820419389,0.30492298174122734,0.03639206681285458,0.06364314143677288,0.3136582508518944,0.20000942494480062,0.0867039126779601,0.7153044115261972,0.667363188036512,22.26259233308059,11.1911295020344
3388,Vinh Long,VNM,2023,2023-01-01,0.14338833011272234,0.3608529501067859,0.14426424657474154,0.16201483309411502,0.3191631452701578,0.21134742362633482,0.10935104635859705,0.4373158466539953,0.399292706762479,27.440723014816736,17.573938068786248
3390,Yen Bai,VNM,2023,2023-01-01,0.043354773181894776,0.2553778084591007,0.032203641972676875,0.0540870876770032,0.26590613497465077,0.1715838067361031,0.07374501496964168,0.7085037698375857,0.5612940522924248,20.413173601674995,10.420449799729484
3328,Bac Kan,VNM,2023,2023-01-01,0.043137902921988144,0.31576827133300006,0.03151237340901971,0.057411280395250536,0.3233718953029958,0.19579204220544089,0.07906246855823808,0.7589281922373909,0.6962010760371972,20.910988547407293,10.215917224914561
3329,Bac Giang,VNM,2023,2023-01-01,0.08932375905453441,0.26866433268642204,0.08307619484858667,0.08854007513207621,0.25626578435297,0.1786241365821334,0.09778314572098402,0.5665063321968565,0.4609335898477217,24.153360131231025,9.594981039595625
3330,Bac Lieu,VNM,2023,2023-01-01,0.21238136800685134,0.30221162357312,0.20400638690125622,0.22212812752356936,0.2693614023125856,0.19116066890638586,0.10957118318183232,0.1688727722004183,0.13023524465726788,28.46785525603997,
3331,Bac Ninh,VNM,2023,2023-01-01,0.07579717140810102,0.18613398600245443,0.044806132422894905,0.05856848267800826,0.18983037663673302,0.1691644413071359,0.1156657438968264,0.42404522335612466,0.36654332662323624,26.163467707594016,10.381153077078816
3334,Binh Duong,VNM,2023,2023-01-01,0.10561973625065199,0.27906192433215476,0.09289569394829676,0.11107923556610841,0.29037742988603565,0.2202476203417137,0.11553007002261,0.47004118836280867,0.4350591977149221,30.656512507684354,18.42803787383243
3335,Binh Phuoc,VNM,2023,2023-01-01,0.14238798359056717,0.3625052055320138,0.12268901827381165,0.15193891917268135,0.36132943763523045,0.24041783624777818,0.1166149759450687,0.46695365072374867,0.4566599977632334,29.73947977902296,17.007601001194264
3339,Ca Mau,VNM,2023,2023-01-01,0.13828103627078173,0.23046207857722292,0.15068912940251644,0.15146317447809732,0.19412154538993984,0.12953367898667997,0.06988099964698814,0.24959847806883673,0.1584366678741479,27.97901641965195,
3340,Da Nang City,VNM,2023,2023-01-01,0.6199433525591935,0.6566180615337268,0.6150632817664673,0.6245334443845408,0.5982732261408473,0.45510618521676777,0.23734029765079226,0.029623289993317137,0.027495758009019572,,
3346,Ha Nam,VNM,2023,2023-01-01,0.09823456975397882,0.2112651235397585,0.09149179872957071,0.09294316028100984,0.20421741833337237,0.16803285408274943,0.10373446317937353,0.4298760483584428,0.3218570148259278,22.679281409364922,10.396818890212865
