ADM1_CODE,ADM1_NAME,country,year,date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,ndvi,evi,LST_Day_1km,LST_Night_1km
3333,Binh Dinh,VNM,2019,2019-01-01,0.2730052100380147,0.40624387861660144,0.2744791435219881,0.2813455029322003,0.38216785478663456,0.2911823200507843,0.1800247476136162,0.2654799705025768,0.2607172844476779,25.875781851580093,18.395914478595586
3338,Cao Bang,VNM,2019,2019-01-01,0.4981816634165403,0.5581605714005782,0.49669253393173357,0.4984726883407468,0.559154912541824,0.4843902251781295,0.3403857392775996,0.0733794741528597,-0.2813960062860148,16.719380156152543,6.74781150560725
3355,Khanh Hoa,VNM,2019,2019-01-01,0.25490421545291103,0.39551053565413485,0.2530978551025822,0.261569962186657,0.3743166724298395,0.2880182433678254,0.18319737902566044,0.2949288665783198,0.2846987057616424,25.95991457246227,19.59960315066455
3360,Lang Son,VNM,2019,2019-01-01,0.2053679178297698,0.36727590375113905,0.19228872009503853,0.20855384222309958,0.3809665474376614,0.30334194393347236,0.20360275316235782,0.43985369388427076,0.435930351870994,13.178571882839679,7.807080243294822
3370,Phu Yen,VNM,2019,2019-01-01,0.3122701505829896,0.4480371731703418,0.3114158281951363,0.3201944106230347,0.42200717599774207,0.32193329801439663,0.1981992401046025,0.23850018016656646,0.2549666804383338,25.46845397716157,19.688762338235655
3371,Quang Binh,VNM,2019,2019-01-01,0.5228700600878403,0.5780573287372881,0.5261879352416645,0.5275075285132799,0.5610961963873572,0.4755484734745683,0.3147453156570179,0.07596648151624759,0.08123180609771688,19.93201071593785,13.421832747891038
3374,Quang Ngai,VNM,2019,2019-01-01,0.3118481591058619,0.4245037510946705,0.31623473664481705,0.31958283475593513,0.3924671736105184,0.30182034153769677,0.1854590687989314,0.23258921792527623,0.20116629770766326,25.96382579343912,15.990772814158401
3376,Quang Tri,VNM,2019,2019-01-01,0.36380019875807446,0.48541532917931457,0.3607687017953207,0.3707121532705945,0.47065006727973974,0.3812379726993468,0.24774958135181194,0.2540777853538588,0.2547962916963008,25.27897475744095,17.49519961580658
3383,Thua Thien - Hue,VNM,2019,2019-01-01,0.39344449651545904,0.4906792639145821,0.3948734060588021,0.40032974630943285,0.4790093066034955,0.40510855142651486,0.282278824471642,0.16649642565652684,0.1871220716794039,23.539261222542066,15.80177398522438
3327,Ba Ria-Vung Tau,VNM,2019,2019-01-01,0.055879782789130326,0.23948616289015118,0.03447152672297952,0.06065315030198152,0.23957257915892746,0.1666398128462187,0.08460098227483147,0.5940436296347513,0.5140457624347903,32.46432999410954,20.922065294377006
3336,Binh Thuan,VNM,2019,2019-01-01,0.05302202477791639,0.28442905277003466,0.0265403560737643,0.05650569845363374,0.2908068272446096,0.19651178978454364,0.09421670498311191,0.7079226664349189,1.10498930095914,30.799450436149613,20.487948282794335
3342,Dong Nai,VNM,2019,2019-01-01,0.04660271767845673,0.2753841418076911,0.026512960699390985,0.056216801096829444,0.2785981295010538,0.17775712024998247,0.08105982362819089,0.6703184320929328,0.6245038579165694,32.43888192471327,20.914611084242956
3344,Gia Lai,VNM,2019,2019-01-01,0.14919582399625628,0.31957531028861513,0.1324320696163892,0.14998828500161257,0.3333693449493783,0.24828908547612824,0.14254185240417078,0.4637178608894076,0.46382187341704073,29.635894705075366,18.172387982299224
3345,Ha Giang,VNM,2019,2019-01-01,0.3322424979719206,0.4334636298624958,0.3334066869840266,0.33834025301235926,0.441084222711038,0.35133409633436685,0.2341958022200805,0.20769955567581136,0.19900157018552128,16.245761088750974,7.169731809396981
3347,Ha Noi City,VNM,2019,2019-01-01,0.2628938259831733,0.35499381658395013,0.24110493136119282,0.259238476601319,0.36605386254223404,0.3225644895389575,0.23441209435253538,0.1602545110122816,0.20846545740333008,13.940384615384648,9.430677942773718
3348,Ha Tay,VNM,2019,2019-01-01,0.3831159502598193,0.44946643892206223,0.37131866335307123,0.3823771906439341,0.4479202025948625,0.39059713652697325,0.2667734097842774,0.0863982940040714,0.1067130882849774,15.10464239997375,8.539746663572522
3349,Ha Tinh,VNM,2019,2019-01-01,0.5564730393758099,0.6023755354763295,0.563146228787502,0.5637998065542174,0.5833474708943635,0.49414681651935044,0.3261053627135432,0.04540853144774157,0.056793615459960166,18.62499748322731,7.720736743450555
3353,Hoa Binh,VNM,2019,2019-01-01,0.48815046545933827,0.5555909786112521,0.4855101244805315,0.4899034764306698,0.5445478208066855,0.4630345270590487,0.30281403434288845,0.08865471666953849,0.10363250104556507,,9.815267421179481
3357,Kon Tum,VNM,2019,2019-01-01,0.08654733053118731,0.2826274239722054,0.07196352205688496,0.09050305643050738,0.2927674183793665,0.1958904662762126,0.09838169849154575,0.6337925334867753,0.5162242907938008,27.377014090734672,16.249762600781235
3366,Nghe An,VNM,2019,2019-01-01,0.47176381850815685,0.533037163940448,0.4825131776595928,0.48014456700840297,0.5155074208773888,0.4240966266701412,0.269147570456722,0.0746392233828969,0.08333616365548215,12.330907366506448,8.458279076054762
3367,Ninh Binh,VNM,2019,2019-01-01,0.38406576811510407,0.44119836989424427,0.3751263533539792,0.38186683850194153,0.4389972206226516,0.3641875591887635,0.22261572776561864,0.07378346054002917,0.07487222944241748,,8.61738983794078
3368,Ninh Thuan,VNM,2019,2019-01-01,0.11724075591685704,0.3277997951799315,0.0963481902098587,0.12220757667529134,0.32095805098108277,0.22285536940485187,0.11918467028855587,0.5608700812596857,0.5446752894325531,26.93678034329337,19.951276960063684
3377,Soc Trang,VNM,2019,2019-01-01,0.103157374143515,0.3368037782439286,0.07276801481454205,0.11578821185589583,0.29693332718797355,0.20384500886372103,0.10428629514271504,0.5087990344546129,0.5523355325108888,27.535358920102407,22.22830265219046
3386,Tra Vinh,VNM,2019,2019-01-01,0.07582664825731981,0.2664241060826528,0.041327236712195424,0.0820099655059914,0.24066922067143284,0.16184120736299776,0.0776741238240035,0.5071087821499909,0.4545538500744708,28.838923791277598,22.668430458337937
3387,Tuyen Quang,VNM,2019,2019-01-01,0.4578826827244052,0.529656949839384,0.46316701000588295,0.4640530184811501,0.5207040937980723,0.4350212128748854,0.28310353529947496,0.08102190514120128,0.0940332501174927,,6.925739309305193
3388,Vinh Long,VNM,2019,2019-01-01,0.054178113360064784,0.38936605656016204,0.03357435544373209,0.0755814981081135,0.34335268952913217,0.210244925482449,0.08782685011414414,0.7207735165126239,0.8243458177327324,28.886380403136208,20.91337786227863
3390,Yen Bai,VNM,2019,2019-01-01,0.3398709363959935,0.4243646098867553,0.34615755972200785,0.3480467416622356,0.4243795617018159,0.34986205129885173,0.23695803566400916,0.20841826491154886,0.16591706966964623,16.335507050915343,6.811157244298982
3328,Bac Kan,VNM,2019,2019-01-01,0.5156658278297664,0.5850671626296806,0.5124269207581224,0.5152587352813002,0.577634313914628,0.4904810412698254,0.3254485596901901,0.07192969959298513,0.10287326635023032,14.509579942242096,7.740447932537688
3329,Bac Giang,VNM,2019,2019-01-01,0.14134672949068186,0.3173625917882214,0.11980540598512508,0.14271503864552204,0.3265490596586979,0.24547642327904176,0.15251575764436645,0.4744551374185348,0.4634873734967402,20.288679215987788,8.87194915633333
3330,Bac Lieu,VNM,2019,2019-01-01,0.09154965383671053,0.2569414833551753,0.055797317696701286,0.09914499878720825,0.2234834863250349,0.15349700510703654,0.0766373143075026,0.4275200302388056,0.3726432219184888,27.180001503304638,23.273955990465865
3331,Bac Ninh,VNM,2019,2019-01-01,0.1929041720755524,0.3118540096696949,0.15673446581008516,0.18701747141601202,0.32650722463710785,0.28371060111895646,0.2037464830635483,0.2648904370134075,0.3630558748888812,,9.879403086299657
3334,Binh Duong,VNM,2019,2019-01-01,0.06563711414746218,0.2947396702902546,0.03737424138624689,0.07152986925352124,0.3187842212737324,0.2339904243522336,0.12015686835352875,0.6290172745879548,0.7718034858975201,34.52297612589816,21.162609767545575
3335,Binh Phuoc,VNM,2019,2019-01-01,0.04247076216241519,0.30065969517332375,0.022683640412507994,0.05132636073478144,0.3153510803189875,0.2007076051153849,0.0817561826281469,0.745591519472421,0.6973547329070127,32.814270286313324,20.722541346474465
3339,Ca Mau,VNM,2019,2019-01-01,0.0868062420840168,0.23037499155659452,0.06567448791424169,0.09587128212149693,0.1979778390844416,0.12940112132888867,0.06625772505041383,0.46345611606163506,0.3019786416435963,26.668572472602936,23.663839585640304
3340,Da Nang City,VNM,2019,2019-01-01,0.46410082910922507,0.5258860857546321,0.4703150051734627,0.47015929747366436,0.4998105367335251,0.41214307186613375,0.2699647857005269,0.09459473555828334,0.10087629558212584,27.96385606994737,17.01154545617149
3346,Ha Nam,VNM,2019,2019-01-01,0.3543748645856914,0.4209149031938529,0.34550681654139465,0.3539213493170541,0.42265249100942015,0.36349186000732364,0.24073699535813142,0.09377245061355878,0.1084048076732573,,9.728736529996732
3350,Hai Duong,VNM,2019,2019-01-01,0.15573118691808102,0.28000593992503214,0.12339958515782064,0.15157634020779348,0.2912256082701433,0.24361922822502594,0.16783158009348426,0.3284295696047433,0.3517835686249475,,9.618650712368987
3354,Hung Yen,VNM,2019,2019-01-01,0.23841582645728446,0.3430797948829816,0.2123829777637584,0.23368342987806462,0.3539969712959981,0.3083748465847734,0.22165594209477957,0.19956787675371468,0.2773323895006321,12.775504869297805,10.17491676704797
3364,Nam Dinh,VNM,2019,2019-01-01,0.37961387825174747,0.4302449392274851,0.37298167596735715,0.37726364271172935,0.4357550517337334,0.3694032796008304,0.2303400893598771,0.07011211399655742,0.07210860965784799,14.835404794996565,8.812434939331174
