region_id,region_name,province_bps,country,year,yield_ku_ha,yield_ton_ha,harvested_ha,production_ton,data_source,method_note
IDN-32,West Java,JAWA BARAT,IDN,2023,75.06,7.506,76901.39,577185.49,BPS,KSA
IDN-32,West Java,JAWA BARAT,IDN,2024,72.35,7.235,77992.51,564290.8,BPS,KSA
IDN-33,Central Java,JAWA TENGAH,IDN,2020,60.44,6.044,377065.18,2279146.32,BPS,KSA
IDN-33,Central Java,JAWA TENGAH,IDN,2021,62.56,6.256,340315.45,2128959.17,BPS,KSA
IDN-33,Central Java,JAWA TENGAH,IDN,2022,59.94,5.994,404493.43,2424371.35,BPS,KSA
IDN-33,Central Java,JAWA TENGAH,IDN,2023,58.6,5.86,371046.77,2174484.3,BPS,KSA
IDN-33,Central Java,JAWA TENGAH,IDN,2024,58.85,5.885,412338.4,2426509.0,BPS,KSA
IDN-34,DI Yogyakarta,DI YOGYAKARTA,IDN,2020,53.99,5.399,31380.87,169430.71,BPS,KSA
IDN-34,DI Yogyakarta,DI YOGYAKARTA,IDN,2021,51.35,5.135,38391.14,197154.61,BPS,KSA
IDN-34,DI Yogyakarta,DI YOGYAKARTA,IDN,2022,50.74,5.074,42974.56,218046.4,BPS,KSA
IDN-34,DI Yogyakarta,DI YOGYAKARTA,IDN,2023,54.31,5.431,40056.38,217545.73,BPS,KSA
IDN-34,DI Yogyakarta,DI YOGYAKARTA,IDN,2024,50.44,5.044,37546.96,189378.3,BPS,KSA
IDN-35,East Java,JAWA TIMUR,IDN,2020,57.26,5.726,722182.15,4134908.41,BPS,KSA
IDN-35,East Java,JAWA TIMUR,IDN,2021,58.06,5.806,687502.66,3991492.48,BPS,KSA
IDN-35,East Java,JAWA TIMUR,IDN,2022,60.59,6.059,817449.46,4952602.76,BPS,KSA
IDN-35,East Java,JAWA TIMUR,IDN,2023,63.18,6.318,759060.89,4795780.82,BPS,KSA
IDN-35,East Java,JAWA TIMUR,IDN,2024,62.18,6.218,739157.3,4595792.0,BPS,KSA
IDN-36,Banten,BANTEN,IDN,2020,69.09,6.909,2945.5,20349.88,BPS,KSA
IDN-36,Banten,BANTEN,IDN,2021,68.29,6.829,1375.5,9393.64,BPS,KSA
IDN-36,Banten,BANTEN,IDN,2022,76.79,7.679,1250.54,9602.73,BPS,KSA
IDN-36,Banten,BANTEN,IDN,2023,74.82,7.482,1920.27,14367.12,BPS,KSA
IDN-36,Banten,BANTEN,IDN,2024,60.02,6.002,2112.0,12677.14,BPS,KSA
IDN-51,Bali,BALI,IDN,2020,44.14,4.414,7927.98,34994.61,BPS,KSA
IDN-51,Bali,BALI,IDN,2021,48.92,4.892,10245.83,50117.54,BPS,KSA
IDN-51,Bali,BALI,IDN,2022,51.57,5.157,10316.71,53206.31,BPS,KSA
IDN-51,Bali,BALI,IDN,2023,50.55,5.055,9277.78,46901.81,BPS,KSA
IDN-51,Bali,BALI,IDN,2024,50.92,5.092,7669.79,39055.43,BPS,KSA
IDN-52,West Nusa Tenggara,NUSA TENGGARA BARAT,IDN,2020,59.12,5.912,145562.61,860494.72,BPS,KSA
IDN-52,West Nusa Tenggara,NUSA TENGGARA BARAT,IDN,2021,64.92,6.492,156985.86,1019224.88,BPS,KSA
IDN-52,West Nusa Tenggara,NUSA TENGGARA BARAT,IDN,2022,72.52,7.252,196064.93,1421921.9,BPS,KSA
IDN-52,West Nusa Tenggara,NUSA TENGGARA BARAT,IDN,2023,71.55,7.155,179029.73,1281035.02,BPS,KSA
IDN-52,West Nusa Tenggara,NUSA TENGGARA BARAT,IDN,2024,69.62,6.962,173759.8,1209784.0,BPS,KSA
IDN-53,East Nusa Tenggara,NUSA TENGGARA TIMUR,IDN,2020,23.85,2.385,107094.89,255452.99,BPS,KSA
IDN-53,East Nusa Tenggara,NUSA TENGGARA TIMUR,IDN,2021,25.62,2.562,111362.16,285344.59,BPS,KSA
IDN-53,East Nusa Tenggara,NUSA TENGGARA TIMUR,IDN,2022,25.85,2.585,113624.53,293719.22,BPS,KSA
